sequence|label
I can name only a few movies that I have seen which were this bad. This movie has terrible everything: The dialog is corny and cliché', the acting is poor for the most part with a few exceptions, the cinematography is nothing to cheer about, and the plot is silly (A fat woman stalks a suburban family because her daughter didn't make the soccer team). This is so bad, it's funny to watch. If you can catch this on lifetime, I'd recommend it highly as a comedy.|1
This is a poor, poor movie. Full of clichés, unrealistic moments: punching the air in celebration after putting a fire out, never mind that someone's lost their home and possessions! !, announcing a pregnancy in a bar along with all your mates before telling you in private first, walking on the roof of a burning building for no apparent reason, the stereotypical funerals and strained relationships, the very dodgy, cheesy music at the end, the unrealistic treatment of the girl who was rescued from her apartment, the very unrealistic explosion from that same apartment!!|1
This particular film was one that I wanted to see in theaters, but never got around to it. When I finally rented it in the summer of 2001 I enjoyed it so much that I went out and bought the DVD soon after. Bonnie Hunt and Don Lake did a wonderful job with the screenplay and are wonderful to listen to on the audio commentary that is included on the DVD. They did a great job in creating characters that you really care about. I really felt a whirlwind of emotions watching this film including sadness, anxiety and joy.|1
this film is truly a sorry excuse for film making . the pacing is poor , the budget must have been cut and put in on a whim . the only thing i like about the show ( which has a decent cast and a good crew ) are the actors . they are very professional actors , at least that is what the reviews say . however , the acting is so atrocious that you could probably skip the parts where the dialogue is completely horrible and even worse when you start to feel like the plot is really bad .|0
It has been years since I have been privileged to see this movie on TV. I only wish I could contact someone to see it again. I married a man with three children and two had Fetal Alcohol Syndrome. I didn't' realize this but seeing this movie helped me understand more about their problems and more about how I can love them and help them overcome their difficulties. My step-son is now 35 and thank the Lord he has blossomed wonderfully but still has many after affects of being born by an alcoholic mother.|1
we ' ve all seen bad movies , well this one takes the cake . i ' ve seen that junior movie and even watched it on dvd as a kid . not sure why , but i was curious to see if anything in it could possibly be considered good . what they say is true . you just watch the same old movie over and over again every night for about 3 hours . i can see how the film would get boring if someone left it with a stupid title . the problem with the movie is that people are actually going to watch it so many times at the same time .|0
talking about competition features at the split film festival , we have titles from all over the world . china was one of our favorite places to watch it , but now it 's in japan , and i just hate it . this movie was not as bad as you would have expected a japanese film critic to make it . its action scenes are so good that even i had trouble reading them . the main thing that really bothered me about it was the fact that it did not have any action scenes with the people who were supposed to be making it fun .|0
the main problems of ' saw ' are related to the tremendous script mistakes that only a uncritical spectator will just get out of . i can relate this better than most , which is because i did n't know what to expect from it . there was no time to even think about how we should react to this , since the rest of the cast also knew and understood the concept . but the plot was not so bad that they did not like the movie . the show was quite good ; however , the character wasn ' t a complete ass - wipe .|0
As I sit back after watching Wong Kar-wai's 1994 movie Ashes of Time  more specifically the 2008 re-edit and re-release with the word 'Redux' slapped on the end of the title  I wonder what went wrong. I wonder why the film just didn't work out at all. I wonder why the movie failed to score any major points in my book. In particular, what was it about the film which dragged it down, and made it the director's worst film of his career?Well it's not too hard to figure out really.|1
If you enjoy suspense this movie has it. The fact that Marina Zudina portrays a mute adds to her haplessness and increases the suspense. Alec Guiness's appearance was nice, but didn't really add to the movie. I'm not sure if Evan Richard's part as Andy Clarke was an attempt to add a little humor or if he was supposed to just be a bumbling idiot. I thought the cinematography was excellent. This added not just to the quality of the production but to the suspense as well. The bathtub seen with the water droplets in slow motion was wonderful.|1
