sequence|label
Without a doubt , the biggest waste of film of the year . This movie is poorly structured , sadistic , uninteresting , boring , and , at times, extremely boring . And this is only the first of three films that make this year an absolute waste . The only real redeeming feature in all of these films is that the acting is generally bad . It's good to see an actor who's good and has talent , but in this particular case , this is just a way to keep the budget down . This movie should have taken at least 2 to 3 times the amount of money to make it good .|0
I did have some expectations from this film because 1. It was a Yash raj production 2. When the songs were first shown on TV, they seemed catchy 3. The star(??!) cast was new. Well, I must tell u that I just couldn't sit through this movie. Uday, (with his red lips-what were the make up artists thinking???!) tries hard to look cool but fails miserably. I won't even get started on his acting (if u can call it that).|1
Right... so you have a dam, tons of water (that seems to flow really really slowly) and a small town that happens to be right underneath the dams path of destruction. Throw in a profiteering glutton, an apparently mentally unstable and disgruntled architect and his son, and then to spice things up you add a weak plot and bad acting. All in all, when you have a look at this film from a paying customers point of view... I would feel extremely peeved off if this was a pay-per-view film. If you want a laugh... then you really need to watch this film.|1
It is n't TOO bad , but ultimately it lacks the quality that the Australian series has.The jokes are few and far between , the songs are generic , the acting is the worst i've seen and the special effects are rubbish , i don't think it will get any better. I don't even like American television, but I can not watch this show because the plot is so stupid. The plot is that three people in their 40's meet at a diner and decide to try to have an orgy. They meet at a place where people don't go.|0
"This film hits the heart with a reality like no other I have seen. It shows what us what we, in a democratic society, take for granted, and just what we are lucky enough not to be experiencing. The acting in the film is superb, sometimes you have to remind yourself that the movie is a dramatization, and not real life. Mr. Rickman does wonders with his role (as he does with all roles) making the interrogator fully dimensional and human. The set is incredible. It gives the feeling of 'in the round"" theater."|1
I did n't understand the people who rated it over 5 . I think it 's a horrible film from start to finish. The way it's shot and the way the story is told, it makes me feel like I don't want to see any film. But if you can overlook that it has a lot of great scenes, great actors, a good plot. I recommend it, but only for those who are looking for a fun film that isn't too deep. I'll try to keep my review to that.|0
This is a movie that deserves another look -- if you have n't seen it for a while , or if you want to re-examine it for whatever reason, go for it, but do so with an open mind, and if you do, please also consider that there are a bunch of things here that I probably don't understand. If you've read my other posts about this movie, I'm not sure you can tell much difference in the way I see it, but there are a bunch of other people out there who see something entirely different.|0
"There is something that one of the characters (the aging film director who pretends to be dead) says which may summarize all the film: ""In Italy it's the dead who rule"". True! This is a country without a future, in the hands of old and jaded men. And Bellocchio's cryptic portrait of the country, pivoted on the apparently senseless story of a director who has to film marriage parties to earn a living, manages to say a lot about what is not working here. But foreigners may miss the point, as it's not clearly expressed."|1
"'Identity . . . . I am part of my surroundings and I became separate from them and it 's not possible to become one with something that is not alive, is not part of the world, that is not part of me,' he said, referring to himself in the third person. 'The only way of being one with something is by living it, by sharing it, by being part of it'."" ""The only way for me to be one with my own self is to let the self become one with something else."|0
With David Arquette starring you would immediately think this to be a stupid movie . Well , it is a great movie , and for the rest of this review I am going to tell you the whole story of why I thought it was a waste of time. In my opinion, this is a film that has very little to do with the events that unfolded in Dallas the other night and even less to say about how we should all act after what happened. But this is one of the few times in my entire life I have seen a movie so bad I could have actually cried for it.|0
I saw this movie with a friend who ran a marathon with me, and we both had the same feeling about it: it wasn't terribly motivating, and didn't even broach the idea of what a training schedule would look like, so that non-marathoners could have an idea of what it would take for them to train and run one. In fact there was almost zero technical information at all. I didn't expect this to be a tech-heavy instructional video, but when that info was near zero then the film just wasn't balanced, and wasn't particularly useful to non-marathoners contemplating their first run.There were other problems.|1
The best so-bad-it's-good movie ever made. Rudy Ray Moore is my personal hero. Whether dealing with day to day life or pimping ho's down the block, I can always look to him for inspiration and guidance. When it comes to blaxploitation, Rudy's the man. Nobody is meaner. Watch Dolemite as he and his army of all-female kung fu killers take down Mr. Big and Willie Green. Awesome plot, huh? There are so many one-liners that multiple viewings are necessary to improve your vocabulary. If you say a couple of lines from Dolemite, you are instantly cool.|1
I thought this movie was perfect for little girls . It was about a magical place where Genevieve and all her friends would come and play. It is a beautiful story, but the story was told as a movie rather than a song, which I find disappointing. However it is a great children’s movie that I would recommend to anyone, including grown ups. I love this movie, even though it is so short and it ends so soon. I had never seen the movie, but this was my first time ever to see this song.|0
It 's out of question that the real Anna Anderson was NOT Princess Anastasia . Apart from very distinctive differences in features, the portraits show two different women. How to find the real princess? The real Anastasia had no brothers, sister or any family relations. Anna Anderson was born into the British royal family on May 15th, 1869, to the youngest of three children. The first of her siblings, Princess Alice was born on November 23rd, 1870. Her father was George III and mother Princess Alexandra of Denmark.|0
"In case you dear readers never heard, this movie was the main inspiration for last year's Samuel L. Jackson-Eugene Levy clunker The Man. This 80s-drenched buddy action-comedy pairs short 'n stubbly Billy Crystal and the late Ethiopian Shim-Shammer Gregory Hines together as some witty Chi-town cops who don't play by the rules. That's pretty much the extent of the movie. Interest is somewhat peaked by Hines' line delivery that is spookily similar to Will Smith's and by cameos of now-more-famous actors like Memento's Joe Pantoliano and ""NYPD Blue's"" Jimmy Smits."|1
I read a few reviews of the movie and got the impression that it was not as good as the previous Karate Kid installments. Although my favorite is still Karate Kid II, I felt this fourth installment of the movie series was consistent with the others and had some important lessons to share. Unlike the previous versions, the karate student is a female teenager who takes a somewhat different learning path, rather than a male teenager. Maggi finds this a little more challenging, but rises to the occasion. The plot twists are believable and predictable.|1
This is the Australian TV series . It is a classic . The stories and actors are excellent . Who is your favourite? Well I did like it a lot . The cast was good . I don't know who I would choose for a favourite but I liked them all . How can you describe the plot? I liked it . I think it was a bit slow . I thought there was a lot of plot going on but there wasn't really enough . It did get boring towards the end . I liked it but I think it had a lot of faults .|0
Following is an intriguing thriller that requires constant awareness to be completely understood. The plot has many twists and uses displaced chronology. The event sequence complicates following Following. If you are willing to pay attention, it is an exciting movie full of noir earmarks. With the running time at 70 minutes, there is a lot to take in, but the fast pace helps to keep the viewer enthralled.Bill is a lonely, untidy fellow who takes up shadowing people and seeing where they go-what they do. He is a bit too conspicuous, however, and eventually gets caught by a well dressed, clean-cut bloke named Cobb.|1
This movie must be exported to the rest of the world! An absolute masterpiece, with a both bizarre and grim film about four different stories from four different locations in Sweden. The one with the newly renovated hotel with the improper wooden figure of an old finance minister is absolutely the best of the four, odd story about love or career. I would love to see all four as a film on their own they can be so much more extended. Also the unique pause in the middle is something I've never seen before.Can't wait for the series (if they're doing one) or the extended DVD.|1
Ted Nicolaou made a lot of great horror and fantasy films . I am looking for all his films to be available for viewing. I have been unable to locate the films myself on DVD and Blu Ray. The films I am looking for should have been made with HD and I want all his films to be available. Please let me know if you have any of my films available to be viewed and please respond to my e-mail. I will need all of his films and not just some. Thanks for any help you can give me I have been trying to search for the films but without any luck.|0
"This really is by far the worst movie I 've ever seen in my whole life ( I 'm approaching 10, but I don't think this is going to count). I have watched it twice, in theaters and online and would like to never go to see it again unless it comes out on DVD. I know that most of the review will probably be about how bad the film is, but I 'm more concerned with why I 'm so much against the film . So here it goes:

THE FILM: It is hard to believe that this movie actually was made."|0
Sometimes there's a film so bad that you just keep watching in awe. This is one of those films. Of course I can't help that I'm biased. I'm from Chicago so I watched the scenes closely for accuracy and I don't find Billy Crystal funny at all. And I can't stand all that English style photography(Tony Scott etc) with the smoke machine working overtime and all the flourecent, soft lighting. I suppose we're supposed to believe that Billy Crystal is really from Chicago because he wears a Cubs jersey. Oh and the plot.|1
"In this approximately 34-second Thomas Edison-produced short, we see Annabelle Moore performing the Loie Fuller-choreographed ""Serpentine Dance"" in two different fantastical, flowing robes.Moore was one of the bigger stars of the late Victorian era. She was featured in a number of Edison Company shorts, including this one, which was among the first Kinetoscope films shown in London in 1894.Loie Fuller had actually patented the Serpentine Dance, which Moore performs here in robes (as well as entire frames) that are frequently hand tinted in the film, presaging one of the more common symbolic devices of the silent era."|1
First of all , I believe that this movie is much more appreciated by viewers who have actually read Joseph Campbell’s work. I think he was one of the most profound thinkers in my lifetime and his theories and writings on the importance of symbolism and symbols are one of my favourite subjects in film criticism. Also, for a film with a central theme that focuses on the importance of a symbol, the significance of a totem, the importance of symbols in our life and the meaning of dreams and symbolism in our lives is important.|0
Komodo vs. Cobra is not going to set the world on fire. It's not a hallmark of cinema history. What it is is a group of underfunded filmmakers trying to make another movie, make another paycheck, and continue to support themselves and their families. As such I give these efforts a lot of slack. I mean, come on, it has to be hard to be a Russian special effects technician. Not a lot of big budget films getting made there. BUT-- they are a dedicated bunch and more than willing to throw their all into whatever lame American monster flick needs affordable SFX.|1
The TV announcer who introduced this late one Saturday night said it should have won Oscars . Quite a statement. That’s because the scene is just about perfect and, if you think of it rationally, is the only thing that’s really interesting in the film. In the real life version of this movie, it might have been better to do something a little more conventional. In the TV version of The Killing (which I had not watched before I wrote this), the main story line is basically about the disappearance and presumed suicide of a wealthy and famous woman.|0
I love this movie, first and foremost because of Mark Wahlberg is in it and secondly because the end justifies the means. There is something about this film that sucks you in and allows you to feel all of the emotions the characters are feeling. Jen Aniston is great as the girlfriend in this movie. It takes a look at the Rockstar lifestyle that so many hardcore rockers lived back in the day (perhaps these days they have gotten just abit smarter). It takes through a rainbow of emotions and has a lot of subtle facets to allow the light through.|1
It's unlikely that anyone except those who adore silent films will appreciate any of the lyrical camera-work and busy (but scratchy) background score that accompanies this 1933 release. Although sound came into general use in 1928, there are no more than fifty words spoken to tell the story of a woman, unhappily married, who deserts her husband for a younger man after a romantic interlude in the woods.The most vividly photographed scene has the jealous husband giving a lift to the young man for a ride into town, proceeding to drive normally until he realizes the man is his wife's lover.|1
In the 1980s in wrestling the world was simple. Hulk Hogan would take on Roddy Piper, or Bobby Heenan's cronies or Ted DiBiase and come out victorious more often than not. Occasionally he would get an ally like Randy Savage in 1988, but mostly it was all about Hulk Hogan vs Bobby Heenan, and that's the way it should be.But on this night that was about to change, a new champion, a man who the WWE thought would be their man for the 90s was crowned. It didn't work out.|1
Nemesis Game is a mind-bending film filled with riddles, death, mystery, and philosophy. In it's simplest sense the film is about seeking answers and what happens when you've finally found them all. The search for answers leads Sarah Novak down a path that gets darker as it gets more compelling. The final answer seems more dangerous than it is worth, yet Sarah is so close to understanding it all. What would you do if you were offered the ability to finally make sense of the chaos of life?The movie was written and directed by Jesse Warn.|1
During filming, was Vanessa Redgrave taking mogadon? It was like she was reading from an autocue. I've seen more life in a wooden spoon. Or perhaps that was all part of the character? whatever, it was very very annoying, I kept wanting to shake the screen to hurry her up. I read the book a long time ago & didn't like much about it except that Septimus's descent into madness was very well done - but I don't think Rupert Graves showed this very well, his acting was all on the surface.|1
This film is absolutely appalling and awful . It 's not low budget , it 's a no budget film , it has been shot on the cheapest of cameras , the worst sound system ever built by man , the worst picture quality in movie history , the worst audio , the worst sound effects in movie history , its a terrible film , one of the worst ever made , but its worse than most, I say it is the worst ever made, but most of the time it is just bad , the worst film in the history of film .|0
Not good . Mostly because you do n't give a damn about what happens to all these people . Some of the worst and most tragic things happened on this earth when we did not give a damn. But you, like so many others, refuse to take any responsibility for what you did and you refuse to feel shame for it. You just can't face up to the reality of what is really happening. You are just going along with it all and hoping that nothing bad will happen. But there's a chance it will.|0
