sequence|label
This movie has all the ingredients of a great horror story and loses it in the last half. Few movies can actually give me chill bumps. This one did. Few horror movie give me a sense of dread. This one did. It kept me guessing. I cared about the story. I cared about the characters. The acting was decent. Unfortunately, about half way through the movie, the story just doesn't have many good directions it can go. It becomes evident that everything cool about the plot is going to self-destruct. It does.|1
The best thing I can say about the American version is that Jane Turner and Gina Reilly must be raking in the money for this crap. Yes, the American rip-off was shown for about two episodes in Australia but didn't rate; probably by curious viewers who were wondering how bad it would be. Answer: DEPLORABLE, a complete waste of time. The actors are relatively unknown and they don't take readily to the nuances of the Australian-written script. Bad luck for them as they are doomed to plummet with this turkey.|1
"Mr. Kennedy should stop ExPeRiMeNtIng with bad movie scripts. What WAS he thinking? This is a movie that should not have passed the ""hey, I've got an idea, let's make a sequel"" stage of inception. If there was a ZERO rating, I'd give it, but I guess I'll settle for a generous 1. It seems these days that if there is a buck to be made, movie execs will dig up an old hit and run it by a set of writers and see what turns up. (Hey, I said ""hit and run""!"|1
This film with fine production values features secrets and how friends use each other . Henry May Long is a great director, he made this film with excellent acting, direction and a good story, it's really good! I'm really pleased with this movie and hope that you also will enjoy this. You can find it on DVD. It's one of the movies i'm really looking forward to watching and this year i'm also looking forward to watching other movies that will be released in 2015. Thank you for visiting my site. Peace and happy watching.|0
this is only the second time i have been moved enough to write a review . unfortunately , both times i have had problems getting the system up. this time around the system wasnt very happy . i have had to move the system in a different room from where it was on my desk and i think that was the cause of it being so slow.i was also given the choice to move to a new system , that would cost $300 . so i decided that since it was not the system that was causing problems , i would just have it fixed .|0
I've been strangely attracted to this film since I saw it on Showtime sometime in the early 80's. I say strangely because it is rather a ludicrous bit of soft-core fluff, a genre I'm not particularly interested in. The dialogue is pompously and nonsensically philosophical (making sense, no doubt, only to it's Franco-Italian producers)and the plot completely extraneous. What it does achieve is a wonderfully hypnotic and thoroughly pleasant mood. The scenery (the beautiful Philippines), soft-focus nudity and wonderful score all contribute to a strange and extremely watchable exercise in a sort of film making seldom seen today.|1
This BRASS EYE special PAEDO-GEDDON was swamped by complaints ( More on that later ) when it was broadcast in the UK in November 2009. So, what was it that got me so annoyed about it, you ask? Well, it would be a long story, but I’m hoping I can share some of that with you today. As well as all the usual complaints, it’s also got me a bit upset that there was no mention of how I was affected. This was not a simple matter of the eye being damaged, though.|0
"I can get over the political parody; even if this was SUPPOSE to be a ""Masters of Horror"" flick.But, what I can't get over is the blatant usage of our war heroes (and their sacrifice) as pawns in some washed up horror maker's political statement.To me it was purely insulting to desecrate Arlington, and our heroes. I have family at Arlington. The idea that this guy (Dante) would even portray the Arlington graves being disturbed just makes me want to puke.I'm done with Dante, and done with MOH."|1
"I have only praise for this film . From start to finish it captured the brilliance of Stephen Sondheim 's original score. This film has the ability to be enjoyed by both the classical and pop lovers. A wonderful film. This was a terrific film, that was very entertaining, and had a fantastic soundtrack. It's not an ""easy"" film to swallow, but it is so well written and acted, I couldn't wait to see it on video. This is one film that can be enjoyed by everyone! What a great movie."|0
"This film is a very beautiful and slow film . There is nothing Hollywood about it . It is very different from the Hollywood films , because you will never see Hollywood stars in this film . I can see that this film has a very unique and beautiful story but it does not fit in the Hollywood mould . The acting is great . I really enjoy watching this movie . It has a great pace . It has great music . I can see that people from all over the world have enjoyed the film . 3.2 /
5 votes

Rajesh Rupani

This was a very enjoyable and beautiful film."|0
I have been looking forward to the release of this DVD ( and it 's follow-up { Female Prisoner Scorpion } since its release. Now that it's out in the world I am very glad to get to see more of the story that inspired the original. I am so glad that this movie had as much of an impact on people as it did, because it was one of the more important movies in the film genre. I am also happy that some of the actors that made the film have been in the movie that came after, because their performances were very important to the story.|0
"This movie tries its darndest to capture that classic bad canadian movie feel:""quirky"" and obnoxious characters (a few); ""quirky"" town with ""quirky"" folk; a ""quirky"" coffee shop or restaurant (coffee shop here); lots of shots of canadian stuff for postcards (ocean stuff here); lots of mention of ""gotta get out of this town""; downright booooring.And it succeeds on all counts.Something to note, though. I couldn't figure out whether this movie was just trying to be post-Northern Exposure ""quirky"" comedy or something surreal like a drug-induced or psychotic hallucination."|1
Naruto the Anime TV Series has so far spawned 2 feature length theatre movies , and a third one is scheduled for release on August 17, 2018. The story follows a boy named Ken who, after being left for dead by his own father, embarks on a search to bring him back, but not before he meets with a mysterious woman who is the reincarnation of an ancient and powerful woman known only by the name “Kage”. Ken, and his friends, encounter many obstacles, and must rely on their wits, swords and ninja skills to overcome the numerous obstacles.|0
We have a character named Evie . Evie just wants to be a good person . She 's nice , kind and smart , she's very nice . She knows she has a problem in her family , she 's trying to figure out what she 's done wrong to cause her family 's problems. Her parents are mean , they do things like hurt each other , her mother hits her father , he hits her mother. She also has a problem in her stepmother , her stepmother is mean. And when Evie sees them fight , she just wants to run .|0
The prey has an interesting history , unless you remember the ads for it in newspapers in June of 1984, which were so weird, so bizarre, that it would have been better to have killed it. It is so weird it has become famous, but I can tell you what you will find. You won't find that it has anything in common with your dog. And then there is the way the bait is set up. When you feed the prey, you make a circle of light around the animal, and then you put the bait down.|0
"This one is one of those classic B movie following the exploits of 2 hobos. It's done really cheesily and Big Stupid running off one-liners like a cardboard cassanova. But Jack Elam steals every scene he's in as the creepazoid Jesse (now Jerome!). My favorite scene is the lynch mob and the dad's voice going up 10 octaves (""You loved her?""). Danny, Big Stupid's protege, is surprisingly stupider, but not as loathsome as our lead star. There's also a quaint scene of a guy pimping at the diner."|1
This comment is meant mainly as a warning to the people who might be attracted to the title by its (temporarily)high user rating which I find frankly puzzling. The reasons why I didn't like this title are following:1. The directer must have had some doubts whether to make a Jackie-Chan-type of a flick or a dark Oedipian tragedy. As a result, in terms of genre, the film falls between two stools, as the tragic and comic elements clash and cancel out each other rather than make a harmonious whole.2. The characters' motives and behaviors are incoherent and unconvincing.|1
this is film is probably one of the best i 've seen so far . i would put it only as a top 5. I just finished watching it and I was not happy with all the things I had said. The music, the acting, the dialogue was all terrible but I just couldn't get over it. The acting in general wasn't great either but the story just wasn't good enough to overcome it and I don't think I can say that now. I'm sorry but I could not stand it.|0
I watched this expecting to see the usual British stiff upper lip stereotypes and was surprised to find the dialogue quite British. I had been expecting to hear the usual American stereotypes as well but this is what I had hoped for. The way the characters are written is very natural. The dialogue is simple and clear and doesn’t bog down into mushy phrases or cliché phrases. It is the dialogue in general that I found lacking but I am willing to overlook that. Overall this is an absolutely fantastic movie that I’ll gladly watch again.|0
"Chick Flick ? Of course .... Been done before ? Many times .... Predictable ? Yes ..... Worth watching ? I think I'll try it again ...... It'll probably take me 5 years to do .... I don't really want to start a career as a model .... but then again I'd never have to pay for any of this ....

Well .... ... It's a good show and I like watching it ... I am interested to see how you do it as well ..... Can you try to do it once a day ? If not ..... You will have lots of work to do .... How do you do it ....."|0
Comparisons to the original series are inevitable. It's a shame Diana Rigg left the original show in the 1960's due to mistreatment on the part of the producers, and MacNee probably regretted this as much as any fan - there's no telling how long the show might have lasted otherwise. Linda Thorson was OK as a replacement and her episodes still retained almost all of the quality and aspects of the Rigg episodes - only the Rigg/Macnee chemistry was lacking. The New Avengers should have been left on the shelf - a declining Macnee, an annoying Purdey, and a who the hell is this guy Gambit.|1
