sequence|label
"The Hell's Angels did come out the losers in this movie. Sonny stated to the director that NOBODY does this to the Angles and gets away with it. His version was the two dudes were to be shotgunned to death, but his suggestion was ignored. They were stoops to even appear, much less be ""technical advisers"" in a stink-bomb of a movie like this. Hell's Angles on JAP bikes? C'mon! (although in Sonny's autobiography he says, ""F$#K Harley Davidson!"" and that if they was smart, they would be riding Hondas."|1
I saw the movie on its North American premiere (July 14, 2004) at the Fantasia Festival. I was slightly disappointed as I had been expecting a more epic, ensemble cast movie along the lines of Musa the Warrior. Instead, the movie concentrated only a much smaller number of characters. Still, the movie was solid, thoughtful and visually intriguing. There were slightly jarring tone shifts from the dominant thoughtful and realistic tone of confused loyalties, intrigue and blood, versus the lighter, more flamboyant, martial arts sequences.|1
Forget what I said about Emeril. Rachael Ray is the most irritating personality on the Food Network AND all of television. If you've never seen 30 Minute Meals, then you cannot possibly begin to comprehend how unfathomably annoying she is. I really truly meant that you can't even begin to be boggled by her until you've viewed the show once or twice, and even then all words and intelligent thoughts will fail you. The problem is mostly with her mannerisms as you might have guessed. Ray has a goofy mouth and often imitates the parrot.|1
Just watched this on DVD three times - Once the 'normal ' way , once with the scenes in consecutive frames, once in each frame, and then again a few minutes later. And then watched this with my friends again - and I'm happy to admit it is my favorite in the whole DVD series because it's just as amazing as any of the others! I just wish I had the time and resources I needed to write it. This is what the movie is all about - the characters. What is it about the characters that made it into the film?|0
I love this movie, first and foremost because of Mark Wahlberg is in it and secondly because the end justifies the means. There is something about this film that sucks you in and allows you to feel all of the emotions the characters are feeling. Jen Aniston is great as the girlfriend in this movie. It takes a look at the Rockstar lifestyle that so many hardcore rockers lived back in the day (perhaps these days they have gotten just abit smarter). It takes through a rainbow of emotions and has a lot of subtle facets to allow the light through.|1
Walker Texas Ranger is one of the worst shows produced in the past 10 years. The script for James 'Jimmy' Trivette, Walker's sidekick, is about as pathetically written of a part as Wesley Crusher on Star Trek TNG, and is played with about as much conviction.On this show, people don't respond the way people respond to things in real life--everyone is polarized--everyone is either a completely good guy or a completely bad guy (unless Walker himself has a 2 minute talk with them and then they change instantly). That's not how life works, that's not how people are.|1
I 've discovered this movie accidentally and it was really a nice surprise . A Christmas Classic , it 's the most famous Christmas movie ever to be found. I'm really really excited for this Christmas movie, so I think it 'll be a lot better for me after watching it but I have to admit it 'll be a lot better for the kids than anything else I've seen. It was actually quite entertaining to watch as I 'll have to do a bit before I get home and then watch the movie again tomorrow.|0
Stephen Seagal plays the role of a dude who gets talked into driving an armored car for a bank hold up and drives into everything that comes across his path. However, the police seem to appear on the scene very quickly and Seagal smells a rat who gave the police advanced notice. The story gets into many twists and turns and the money from the hold up has disappeared and nobody knows its new owner. Poor Seagal gets a bit framed into this hold up and naturally he is out looking for the person or persons who are trying to put him away for a long time.|1
I know it's rather unfair to comment on a movie without seeing the complete piece - but I am going to anyway! I waited for a laugh, I tried to give it time. I think 20 minutes is long enough to wait in a comedy for a laugh. My laugh never came, so I gave up.It's stupid humour, not so stupid that you have to laugh, though. It isn't anywhere near that high grade. Let me correct that, it's just *stupid* - not stupid humour. They may have intended for certain scenes to be funny, but they weren't.|1
I saw this movie for the first time when Quentin Tarantino showed it to a bunch of us at the local movie theater. I loved it, but then I was in college, I didn’t really know why it was there, I watched it a few years ago and I thought “this is great. This is what Tarantino had to say, and he didn’t get it. He just thought he’d be able to do it anyway.” And that was the only time I ever saw a movie with a guy that was in the movie theater.|0
"So , you wan na be a rock star ? See this movie . You do n't like rock , but that's not your real name. That is your real one . But a rock star may be called . You may not think of rock , but the real one is like the rock . A rock star is a great singer. He's a singer and a songwriter , and he sings a song , but he's also a singer and a song writer. A:

If he's a rock star, then he's probably the one that came up with this song."|0
There seems to have been some money behind this film , but it would be impossible to imagine a film which was actually written after the fact. Yes, I know, I know. It would be impossible to tell the story from the film. If you want to know what the story is, you can take a look at my previous article. Yes, I know... I know. I've been looking for it for a while. It's great to know about the work done by other people. I've heard from a number of people I can't recall who's done a similar movie.|0
I thought the this film had an interesting name and just might have proved thought provoking, but was I wrong. This film was boring, especially in the beginning and the middle parts. I cannot comment on the ending because I just couldn't stand watching the whole film. The premise of signing a student researcher just because he walks into your lab makes no sense. This student had an interesting type of moving robot in his apartment and sadly enough this non living thing is more interesting than the characters in this film. So if you are having trouble with sleep then I recommend that you rent this film.|1
"Totally forgettable movie but an unbelievable soundtrack : I 'd give it ( soundtrack ) a 9 out of 10, but i really would love it and I just hope it works better than I do :D

For me it works well if i go back to the movie but in my house i'm going to change my mind and buy a copy of it so i can be back to the movie but for sure i'll give it a 9 out of 10, but it's not my dream

I wish I would say it works great in my house."|0
"In `` Red Letters '' , Coyote is at the vortex of as a college professor who writes to a local newspaper to get some ideas about his work. As Coyote begins the day-to-day operation he writes an essay on his writing. As Coyote arrives to his hotel, he is shocked to hear the news from a journalist in his native town. As Coyote reads the piece, he is told it contains ""some very funny things."" When Coyote is told what he has read, he is taken aback. The newspaper says it contains humor about him."|0
Most movies I can sit through easily, even if I do not particularly like the movie. I am the type of person who recognizes great films even if I do not like the genre. This is the first movie I could not stand to watch. Cat in the Hat is the worst movie I have ever seen--and I've seen a lot of movies. The acting is okay (Myers is good as the cat, it's just that he is REALLY annoying). The silly songs the cat sings were boring and monotonous, even for the children in the audience.|1
"Well...it's about time! Van Damme is back and kicking in this action thriller that's his best film in recent years. The plot isn't too inventive but the whole border patrol theme is interesting and the ex-marines as drug smugglers twist is cool. But what makes this movie awesome is the fact that Van Damme is back to doing martial arts again. His latest films have been more acting oriented, but in ""The Shepard"", JCVD is back to dropping the bad guys and looks to be in excellent shape."|1
It 's almost impossible for me to sit down and write a conscientious review of THREE COLORS : RED without the 's, with the 't and the 's and the 't 's. And then, because I'm a child of the 's and I haven't a clue why I'm thinking about them yet, I'll ask for their review anyway, which will take me about two weeks to do, and then I'll write it, which I know I don't do. After that, they'll tell me that I'll probably never have a chance to finish my 's, even if they ask me.|0
I would like to thank you for giving me a chance to be one of the first to actually view and discuss this topic. Thank you so much for being so helpful. I appreciate that. I hope this post has given you a head start on what happens in the world of computers. I would like to take it as an attempt to explain what we do when we become a computer. I want to share an article with you. I'm going to tell you more about how I became an engineer by taking a look at what you're doing in the first few years of college.|0
We found this movie nearly impossible to watch. With such a super cast, it's a shame that the writing and direction were so awful. The excruciating pace at which the story was told was maddening. The flash-backs were clumsy. The characters were one-dimensional. The heavy-handed metaphors -- the river, the cat -- were repeated way too often. The movie Nobody's Fool, based on another novel by Russo, was infinitely better, probably because it was more tightly written and directed. The photography in Empire Falls was lovely.|1
"After the failure of `` Hellraiser III : Hell On Earth , '' the chapter that served as a kind of soundtrack for the upcoming '' Hellraiser!'' video came to life. ''Hellraiser 3 : Hell On Earth'' came out on June 19, but the game never got released. The movie ''Hellraiser!'' would be released just over a month after the game had debuted, the same day of the launch. As the release date approached, I got an idea of what the game would do for a couple of reasons. First and foremost:

There are two main reasons to be excited about Hellraiser!"|0
This movie is not worth anything. I mean, if you want to watch this kind of stuff, flip to Hollywood movies! This totally is a disgrace to the Bollywood name. Neal N Nikki seriously sucked! Never watch this movie. As for the actors, it appears the acting genes skipped a generation. Tanisha couldn't have worn less and Uday Chopra obviously was just picked because he was the director's spoiled son. (All of that Halla Re was amazingly stupid) The songs are eh, and I hope the director did not spend to much money on it...... Bottom line, I hated the movie.|1
Monday, October 02, 2006 So I got together with my dad as I always do. We ordered some Japanese take-out, turned off the lights and pushed play. I'm an avid fan of horror movies. However, The Cavern released on DVD this October was most certainly a let down. It seemed promising, meeting all the standard requirements of any horror movie machine: drawn out beginning with antagonistic character present, a cannot be omitted sex scene, and the all too familiar pre-spook (when they spook you unexpectedly but it turns out to be the idiot buddy).|1
The positives : It 's shot pretty well . Has some interesting peripheral characters . Likable main character ( albeit not the best ) . The other ones , are very good and they have nice voice. Also they are pretty cute , and are fun to watch. But there is something different about that . So they are not much better than some of these characters . They do look a little weird . They also have some interesting voice . I like the voice . They have good characters and some nice characters but these characters have nothing to do with this .|0
Except for the glossy look , this show had little to recommend it . The writing was patronizing and convoluted as well , like in the original . But there were so many interesting things here, that you may want to give some credit for the quality. In my view , it would be a bit more difficult to keep the cast in line, but there is not that much to do . I have done some great shows in various genres, but I have always liked the stylistic aspects . However , I found the show was more enjoyable for me than I expected.|0
Or vice-versa.This is a French film noir directed by an American film maker ( Jules Dassin ) who had to flee Italy because he was being chased by Italian security forces as he was in his final months. The film follows a French family who has moved to New York to be with their daughter, and a French girl who is still in love with the young man they love. But this is not the whole story but the story of how they got there. A family of French-speaking people, they are in the midst of making a film.|0
They said it would be a film greater than Turks Fruit. How darethey? It's not even 10% of this classic. Bad acting. The only character i felt sympathy for was the oneplayed by Angela Schijf. Her acting was the best in the whole film. The story could've been interesting, but it wasn't. Some scenes were very beautiful filmed (lights and camera), (theopening scene for example), but the bad acting made the magicdisappear.I really don't understand why so many people voted this film sogood.|1
"What can I say? After having read Herbert's books and loving Lynch's movie version, I was extremely disappointed. I felt I was watching a reject version of Buck Rogers. The sets looked like left overs from a Star Wars TV special! I felt the acting was a bit amateurish by most. The costumes were garish and over done which gave it a '60s Flash Gordon, pulp feel. The worms! They're supposed to be Sand Worms and yet they appeared to ""big stalagtites"" with a mouth at the blunt end. The effects in general were pretty second rate."|1
I had never heard of this film till it popped up on cable TV and I ca n't understand why, I just saw it on the news in the UK in the middle of the week. I did a quick Google search, but I didn't find anything. It's all over the papers, the media, the internet and social media. It makes me nervous when someone does it. In my opinion, the most important issue of the documentary is the political implications of what we have seen. When I watched it a year ago, I don't think I have seen that film much since.|0
As a fan of Henriksen ( I liked him in the `` Millennium '' series ) and of course Lorenzo, I think he can be a really interesting player to have in his team. There are some people who don't like him, and I'm not saying they don't like him, but I wouldn't rule it out either. There was a lot of debate among the players in the past about when to sign him/his coach, and he's still a great player. He's an incredible player, so if you don't like him, don't even bother trying.|0
This is the sort of unknown and forgotten film one dreams about discovering in watching old videos . It is the kind of dream I am often told I never really know. But I do know it is not the kind of dream that can actually be described. If you watch movies in which they were filmed in the '80s, or even in their earliest years, I am sure you will get a bit of interest. For instance, I was asked to shoot a scene in which two young children were walking down a dirt street, each looking like a person walking with a flashlight.|0
Journalist Bob Woodward 's blistering , scattershot and sometimes suspect account of actor John Belushi 's rise and fall becomes the central tenet of The New Yorker in 2009 . At the end of 2009, Belushi , who was in Hollywood as a director and playwright , was killed in a car accident that left him in serious physical and mental impairment. Belushi 's widow was found dead the following year on December 8, 2011 at the age of 64 . In the aftermath, it is likely that at some point he decided to take a break from film filmmaking and started a documentary series of his own.|0
I found it almost impossible to empathize with Ricci 's character in this film . If she was supposed to have lost his love for her then she had no choice but to leave him . . . . I love Ricci, but if she wasn't supposed to be so loving to him then she would be missing him . . . . I know that it would have been better for her to have been the one to come to this film. She had not lost her husband yet, but she has. If we do not understand what she is supposed to do then we cannot help her.|0
"This movie is #1 in the list of worst movies I have ever seen, with ""Lessons for an Assassin"" on the #2 spot.The acting is lousy (sorry, Sandra Bullock, but even your performance was horrible! ), the music score could have come from a bad x-rated movie and the story was downright ridiculous. It had this in common with a typical action movie: the dialogues were short and consisted mainly of one-syllable words. But contrary to the average action movie, there was no real action in this one."|1
